,key,accession,name,source_database,length,source_organism_taxID,source_organism_scientificName,source_organism_fullName
616,616,A0A071MLU1,NMO domain-containing protein,unreviewed,356,95486,Burkholderia cenocepacia,Burkholderia cenocepacia
617,617,A0A071MUJ0,NMO domain-containing protein,unreviewed,396,95486,Burkholderia cenocepacia,Burkholderia cenocepacia
618,618,A0A072CW41,NMO domain-containing protein,unreviewed,323,1485002,Acinetobacter sp. ETR1,Acinetobacter sp. ETR1
619,619,A0A072CZ50,NMO domain-containing protein,unreviewed,347,1485002,Acinetobacter sp. ETR1,Acinetobacter sp. ETR1
620,620,A0A072EIP4,NMO domain-containing protein,unreviewed,328,1051981,Streptococcus equi subsp. ruminatorum CECT 5772,Streptococcus equi subsp. ruminatorum CECT 5772
621,621,A0A072N3M9,NMO domain-containing protein,unreviewed,320,1137280,Marinobacter nitratireducens,Marinobacter nitratireducens
622,622,A0A072NAE6,NMO domain-containing protein,unreviewed,325,1137280,Marinobacter nitratireducens,Marinobacter nitratireducens
623,623,A0A072NGI2,2-nitropropane dioxygenase,unreviewed,318,1348973,Bacillus azotoformans MEV2011,Bacillus azotoformans MEV2011
624,624,A0A072NJM3,2-nitropropane dioxygenase-like enzyme,unreviewed,316,1348973,Bacillus azotoformans MEV2011,Bacillus azotoformans MEV2011
625,625,A0A072NMA9,NMO domain-containing protein,unreviewed,327,1348973,Bacillus azotoformans MEV2011,Bacillus azotoformans MEV2011
626,626,A0A072NMF9,NMO domain-containing protein,unreviewed,339,1489678,Deinococcus sp. RL,Deinococcus sp. RL
627,627,A0A072NUC4,NMO domain-containing protein,unreviewed,330,1182545,Exophiala aquamarina CBS 119918,Exophiala aquamarina CBS 119918
628,628,A0A072NUC5,NMO domain-containing protein,unreviewed,107,1182545,Exophiala aquamarina CBS 119918,Exophiala aquamarina CBS 119918
629,629,A0A072P1V7,NMO domain-containing protein,unreviewed,351,1182545,Exophiala aquamarina CBS 119918,Exophiala aquamarina CBS 119918
630,630,A0A072P1Z4,NMO domain-containing protein,unreviewed,353,1182545,Exophiala aquamarina CBS 119918,Exophiala aquamarina CBS 119918
631,631,A0A072P964,Uncharacterized protein,unreviewed,365,1182545,Exophiala aquamarina CBS 119918,Exophiala aquamarina CBS 119918
632,632,A0A072PIH6,NMO domain-containing protein,unreviewed,313,1182545,Exophiala aquamarina CBS 119918,Exophiala aquamarina CBS 119918
633,633,A0A072PLW6,NMO domain-containing protein,unreviewed,334,1182545,Exophiala aquamarina CBS 119918,Exophiala aquamarina CBS 119918
634,634,A0A072PW87,NMO domain-containing protein,unreviewed,359,1182545,Exophiala aquamarina CBS 119918,Exophiala aquamarina CBS 119918
635,635,A0A072T2H0,NMO domain-containing protein,unreviewed,132,180282,Delftia tsuruhatensis,Delftia tsuruhatensis
636,636,A0A072T2W1,NMO domain-containing protein,unreviewed,319,180282,Delftia tsuruhatensis,Delftia tsuruhatensis
637,637,A0A072TBS3,NMO domain-containing protein,unreviewed,324,180282,Delftia tsuruhatensis,Delftia tsuruhatensis
638,638,A0A072UYY0,2-nitropropane dioxygenase-like protein,unreviewed,299,3880,Medicago truncatula,Medicago truncatula (Barrel medic)
639,639,A0A072UZ97,2-nitropropane dioxygenase-like protein,unreviewed,294,3880,Medicago truncatula,Medicago truncatula (Barrel medic)
640,640,A0A072XC34,NMO domain-containing protein,unreviewed,364,1443125,Clostridium botulinum C/D str. BKT12695,Clostridium botulinum C/D str. BKT12695
641,641,A0A072XID0,NMO domain-containing protein,unreviewed,316,1443125,Clostridium botulinum C/D str. BKT12695,Clostridium botulinum C/D str. BKT12695
642,642,A0A072Y5P5,NMO domain-containing protein,unreviewed,316,1443109,Clostridium sp. K25,Clostridium sp. K25
643,643,A0A072YBI6,NMO domain-containing protein,unreviewed,361,1443109,Clostridium sp. K25,Clostridium sp. K25
644,644,A0A072YH44,NMO domain-containing protein,unreviewed,316,1443122,Clostridium novyi B str. NCTC 9691,Clostridium novyi B str. NCTC 9691
645,645,A0A072YRH8,NMO domain-containing protein,unreviewed,361,1443122,Clostridium novyi B str. NCTC 9691,Clostridium novyi B str. NCTC 9691
646,646,A0A072Z605,NMO domain-containing protein,unreviewed,341,1079988,Corynebacterium glutamicum ATCC 14067,Corynebacterium glutamicum ATCC 14067
647,647,A0A072ZZ13,NMO domain-containing protein,unreviewed,327,305,Ralstonia solanacearum,Ralstonia solanacearum
648,648,A0A073AWG3,NMO domain-containing protein,unreviewed,373,28042,Saccharopolyspora rectivirgula,Saccharopolyspora rectivirgula
649,649,A0A073AXY8,NMO domain-containing protein,unreviewed,357,28042,Saccharopolyspora rectivirgula,Saccharopolyspora rectivirgula
650,650,A0A073B1A8,NMO domain-containing protein,unreviewed,323,28042,Saccharopolyspora rectivirgula,Saccharopolyspora rectivirgula
651,651,A0A073IEG2,NMO domain-containing protein,unreviewed,330,1300350,Sulfitobacter donghicola DSW-25 = KCTC 12864 = JCM 14565,Sulfitobacter donghicola DSW-25 = KCTC 12864 = JCM 14565
652,652,A0A073IPJ6,NMO domain-containing protein,unreviewed,373,2754,Synergistes jonesii,Synergistes jonesii
653,653,A0A073IPT2,NMO domain-containing protein,unreviewed,315,2754,Synergistes jonesii,Synergistes jonesii
654,654,A0A073J566,NMO domain-containing protein,unreviewed,347,1402135,Sulfitobacter pseudonitzschiae,Sulfitobacter pseudonitzschiae
655,655,A0A073J6N2,NMO domain-containing protein,unreviewed,331,1402135,Sulfitobacter pseudonitzschiae,Sulfitobacter pseudonitzschiae
656,656,A0A073JY39,NMO domain-containing protein,unreviewed,354,574376,Bacillus manliponensis,Bacillus manliponensis
657,657,A0A073KAZ9,NMO domain-containing protein,unreviewed,366,574375,Bacillus gaemokensis,Bacillus gaemokensis
658,658,A0A073KQQ8,Uncharacterized protein,unreviewed,549,332186,Shewanella xiamenensis,Shewanella xiamenensis
659,659,A0A073KR64,NMO domain-containing protein,unreviewed,352,332186,Shewanella xiamenensis,Shewanella xiamenensis
660,660,A0A074IYA6,NMO domain-containing protein,unreviewed,321,1304,Streptococcus salivarius,Streptococcus salivarius
661,661,A0A074JGU1,NMO domain-containing protein,unreviewed,362,1353532,Thalassospira permensis NBRC 106175,Thalassospira permensis NBRC 106175
662,662,A0A074JPG5,NMO domain-containing protein,unreviewed,456,1353532,Thalassospira permensis NBRC 106175,Thalassospira permensis NBRC 106175
663,663,A0A074L195,NMO domain-containing protein,unreviewed,357,1406,Paenibacillus polymyxa,Paenibacillus polymyxa
664,664,A0A074LVW6,NMO domain-containing protein,unreviewed,350,1157490,Tumebacillus flagellatus,Tumebacillus flagellatus
665,665,A0A074M8B8,NMO domain-containing protein,unreviewed,340,39960,Erythrobacter litoralis,Erythrobacter litoralis
666,666,A0A074M8M9,NMO domain-containing protein,unreviewed,336,1044,Erythrobacter longus,Erythrobacter longus
667,667,A0A074MA95,NMO domain-containing protein,unreviewed,324,1044,Erythrobacter longus,Erythrobacter longus
668,668,A0A074MHY2,NMO domain-containing protein,unreviewed,467,39960,Erythrobacter litoralis,Erythrobacter litoralis
669,669,A0A074MP91,NMO domain-containing protein,unreviewed,332,39960,Erythrobacter litoralis,Erythrobacter litoralis
670,670,A0A074MZL0,NMO domain-containing protein,unreviewed,334,39960,Erythrobacter litoralis,Erythrobacter litoralis
671,671,A0A074N066,NMO domain-containing protein,unreviewed,327,1044,Erythrobacter longus,Erythrobacter longus
672,672,A0A074N1H0,NMO domain-containing protein,unreviewed,372,39960,Erythrobacter litoralis,Erythrobacter litoralis
673,673,A0A074N2N4,NMO domain-containing protein,unreviewed,372,1044,Erythrobacter longus,Erythrobacter longus
674,674,A0A074RME7,NMO domain-containing protein,unreviewed,352,1423351,Rhizoctonia solani 123E,Rhizoctonia solani 123E
675,675,A0A074RZD2,NMO domain-containing protein,unreviewed,385,1423351,Rhizoctonia solani 123E,Rhizoctonia solani 123E
676,676,A0A074S1W3,NMO domain-containing protein,unreviewed,351,1423351,Rhizoctonia solani 123E,Rhizoctonia solani 123E
677,677,A0A074S493,NMO domain-containing protein,unreviewed,330,1423351,Rhizoctonia solani 123E,Rhizoctonia solani 123E
678,678,A0A074T8N3,NMO domain-containing protein,unreviewed,350,1185766,Thioclava dalianensis,Thioclava dalianensis
679,679,A0A074VES9,Zn(2)-C6 fungal-type domain-containing protein,unreviewed,902,1043003,Aureobasidium melanogenum CBS 110374,Aureobasidium melanogenum CBS 110374
680,680,A0A074VET8,NMO domain-containing protein,unreviewed,389,1385367,Snodgrassella alvi SCGC AB-598-J21,Snodgrassella alvi SCGC AB-598-J21
681,681,A0A074VJF3,NMO domain-containing protein,unreviewed,346,1043003,Aureobasidium melanogenum CBS 110374,Aureobasidium melanogenum CBS 110374
682,682,A0A074VMW9,NMO domain-containing protein,unreviewed,353,1043003,Aureobasidium melanogenum CBS 110374,Aureobasidium melanogenum CBS 110374
683,683,A0A074VTR2,NMO domain-containing protein,unreviewed,358,1043003,Aureobasidium melanogenum CBS 110374,Aureobasidium melanogenum CBS 110374
684,684,A0A074VVX1,NMO domain-containing protein,unreviewed,357,1043003,Aureobasidium melanogenum CBS 110374,Aureobasidium melanogenum CBS 110374
685,685,A0A074VXD1,NMO domain-containing protein,unreviewed,373,1043003,Aureobasidium melanogenum CBS 110374,Aureobasidium melanogenum CBS 110374
686,686,A0A074WBN3,NMO domain-containing protein,unreviewed,227,1043004,Aureobasidium namibiae CBS 147.97,Aureobasidium namibiae CBS 147.97
687,687,A0A074WSR8,NMO domain-containing protein,unreviewed,357,1043004,Aureobasidium namibiae CBS 147.97,Aureobasidium namibiae CBS 147.97
688,688,A0A074WVN9,NMO domain-containing protein,unreviewed,358,1043004,Aureobasidium namibiae CBS 147.97,Aureobasidium namibiae CBS 147.97
689,689,A0A074X0F1,NMO domain-containing protein,unreviewed,373,1043004,Aureobasidium namibiae CBS 147.97,Aureobasidium namibiae CBS 147.97
690,690,A0A074XGQ8,NMO domain-containing protein,unreviewed,358,1043002,Aureobasidium pullulans EXF-150,Aureobasidium pullulans EXF-150
691,691,A0A074XGU4,NMO domain-containing protein,unreviewed,373,1043002,Aureobasidium pullulans EXF-150,Aureobasidium pullulans EXF-150
692,692,A0A074XHE6,NMO domain-containing protein,unreviewed,356,1043002,Aureobasidium pullulans EXF-150,Aureobasidium pullulans EXF-150
693,693,A0A074XNE3,NMO domain-containing protein,unreviewed,348,1043004,Aureobasidium namibiae CBS 147.97,Aureobasidium namibiae CBS 147.97
694,694,A0A074XSR9,NMO domain-containing protein,unreviewed,350,1043002,Aureobasidium pullulans EXF-150,Aureobasidium pullulans EXF-150
695,695,A0A074XY57,NMO domain-containing protein,unreviewed,354,1043002,Aureobasidium pullulans EXF-150,Aureobasidium pullulans EXF-150
696,696,A0A074Y6E9,NMO domain-containing protein,unreviewed,346,1043005,Aureobasidium subglaciale (strain EXF-2481),Aureobasidium subglaciale (strain EXF-2481)
697,697,A0A074Y8H8,NMO domain-containing protein,unreviewed,356,1043005,Aureobasidium subglaciale (strain EXF-2481),Aureobasidium subglaciale (strain EXF-2481)
698,698,A0A074YDS8,NMO domain-containing protein,unreviewed,348,1043002,Aureobasidium pullulans EXF-150,Aureobasidium pullulans EXF-150
699,699,A0A074YIF6,NMO domain-containing protein,unreviewed,348,1043005,Aureobasidium subglaciale (strain EXF-2481),Aureobasidium subglaciale (strain EXF-2481)
700,700,A0A074YIW0,NMO domain-containing protein,unreviewed,358,1043005,Aureobasidium subglaciale (strain EXF-2481),Aureobasidium subglaciale (strain EXF-2481)
701,701,A0A074YIZ1,NMO domain-containing protein,unreviewed,373,1043005,Aureobasidium subglaciale (strain EXF-2481),Aureobasidium subglaciale (strain EXF-2481)
702,702,A0A074YWL8,NMO domain-containing protein,unreviewed,354,1043005,Aureobasidium subglaciale (strain EXF-2481),Aureobasidium subglaciale (strain EXF-2481)
703,703,A0A075FAR4,"Putative acrylyl-CoA reductase, 2-nitropropane dioxygenase family",unreviewed,322,1478047,uncultured bacterium pBIO2160,uncultured bacterium pBIO2160
704,704,A0A075G017,NMO domain-containing protein,unreviewed,328,1457819,uncultured marine group II/III euryarchaeote AD1000_87_H07,uncultured marine group II/III euryarchaeote AD1000_87_H07
705,705,A0A075G9Z3,NMO domain-containing protein,unreviewed,337,1457860,uncultured marine group II/III euryarchaeote KM3_12_E09,uncultured marine group II/III euryarchaeote KM3_12_E09
706,706,A0A075HUW7,NMO domain-containing protein,unreviewed,337,1456517,uncultured marine group II/III euryarchaeote KM3_82_B10,uncultured marine group II/III euryarchaeote KM3_82_B10
707,707,A0A075IAX2,NMO domain-containing protein,unreviewed,296,1456566,uncultured marine group II/III euryarchaeote SAT1000_19_E11,uncultured marine group II/III euryarchaeote SAT1000_19_E11
708,708,A0A075JQF9,2-nitropropane dioxygenase,unreviewed,317,403957,Virgibacillus sp. SK37,Virgibacillus sp. SK37
709,709,A0A075K4R1,NMO domain-containing protein,unreviewed,357,1217721,Dyella japonica A8,Dyella japonica A8
710,710,A0A075K7E6,NMO domain-containing protein,unreviewed,315,484770,Pelosinus sp. UFO1,Pelosinus sp. UFO1
711,711,A0A075KBU3,Enoyl-(Acyl-carrier-protein) reductase II,unreviewed,313,484770,Pelosinus sp. UFO1,Pelosinus sp. UFO1
712,712,A0A075KC23,NMO domain-containing protein,unreviewed,315,484770,Pelosinus sp. UFO1,Pelosinus sp. UFO1
713,713,A0A075LGV1,NMO domain-containing protein,unreviewed,348,386490,Terribacillus goriensis,Terribacillus goriensis
714,714,A0A075MN83,NMO domain-containing protein,unreviewed,328,1459636,Candidatus Nitrososphaera evergladensis SR1,Candidatus Nitrososphaera evergladensis SR1
715,715,A0A075QWH4,NMO domain-containing protein,unreviewed,367,1042163,Brevibacillus laterosporus LMG 15441,Brevibacillus laterosporus LMG 15441
716,716,A0A075R9E7,NMO domain-containing protein,unreviewed,327,1042163,Brevibacillus laterosporus LMG 15441,Brevibacillus laterosporus LMG 15441
717,717,A0A075SK41,NMO domain-containing protein,unreviewed,321,1214179,Streptococcus suis 6407,Streptococcus suis 6407
718,718,A0A075TYX3,NMO domain-containing protein,unreviewed,323,759620,Weissella ceti,Weissella ceti
719,719,A0A075UNZ8,Modular polyketide synthase,unreviewed,2101,208439,Amycolatopsis japonica,Amycolatopsis japonica
720,720,A0A075UYW5,Carrier domain-containing protein,unreviewed,2153,208439,Amycolatopsis japonica,Amycolatopsis japonica
721,721,A0A075V0D1,Uncharacterized protein,unreviewed,348,208439,Amycolatopsis japonica,Amycolatopsis japonica
722,722,A0A075V274,NMO domain-containing protein,unreviewed,350,208439,Amycolatopsis japonica,Amycolatopsis japonica
723,723,A0A075V575,NMO domain-containing protein,unreviewed,368,208439,Amycolatopsis japonica,Amycolatopsis japonica
724,724,A0A075WGP1,Dioxygenase,unreviewed,274,1344584,Archaeoglobus fulgidus DSM 8774,Archaeoglobus fulgidus DSM 8774
725,725,A0A075WXU2,NMO domain-containing protein,unreviewed,370,289377,Thermodesulfobacterium commune DSM 2178,Thermodesulfobacterium commune DSM 2178
726,726,A0A076EE21,NMO domain-containing protein,unreviewed,328,37919,Rhodococcus opacus,Rhodococcus opacus
727,727,A0A076EJT7,2-nitropropane dioxygenase,unreviewed,353,37919,Rhodococcus opacus,Rhodococcus opacus
728,728,A0A076EMB2,NMO domain-containing protein,unreviewed,371,37919,Rhodococcus opacus,Rhodococcus opacus
729,729,A0A076ENC3,NMO domain-containing protein,unreviewed,329,37919,Rhodococcus opacus,Rhodococcus opacus
730,730,A0A076EPH9,NMO domain-containing protein,unreviewed,325,37919,Rhodococcus opacus,Rhodococcus opacus
731,731,A0A076EQ14,NMO domain-containing protein,unreviewed,363,37919,Rhodococcus opacus,Rhodococcus opacus
732,732,A0A076EQU9,NMO domain-containing protein,unreviewed,350,37919,Rhodococcus opacus,Rhodococcus opacus
733,733,A0A076EUG5,NMO domain-containing protein,unreviewed,320,37919,Rhodococcus opacus,Rhodococcus opacus
734,734,A0A076EUV6,2-nitropropane dioxygenase,unreviewed,312,37919,Rhodococcus opacus,Rhodococcus opacus
735,735,A0A076EWJ3,NMO domain-containing protein,unreviewed,348,37919,Rhodococcus opacus,Rhodococcus opacus
736,736,A0A076EWP9,NMO domain-containing protein,unreviewed,326,37919,Rhodococcus opacus,Rhodococcus opacus
737,737,A0A076EY54,Oxidoreductase,unreviewed,329,37919,Rhodococcus opacus,Rhodococcus opacus
738,738,A0A076EYK1,NMO domain-containing protein,unreviewed,342,37919,Rhodococcus opacus,Rhodococcus opacus
739,739,A0A076EZL4,NMO domain-containing protein,unreviewed,100,37919,Rhodococcus opacus,Rhodococcus opacus
740,740,A0A076F0G8,NMO domain-containing protein,unreviewed,324,37919,Rhodococcus opacus,Rhodococcus opacus
741,741,A0A076FGY6,NMO domain-containing protein,unreviewed,370,1244531,Campylobacter iguaniorum,Campylobacter iguaniorum
742,742,A0A076J455,NMO domain-containing protein,unreviewed,316,357276,Phocaeicola dorei,Phocaeicola dorei
743,743,A0A076MM14,NMO domain-containing protein,unreviewed,350,1068978,Amycolatopsis methanolica 239,Amycolatopsis methanolica 239
744,744,A0A076MRK4,NMO domain-containing protein,unreviewed,323,1068978,Amycolatopsis methanolica 239,Amycolatopsis methanolica 239
745,745,A0A076MXK3,NMO domain-containing protein,unreviewed,323,1068978,Amycolatopsis methanolica 239,Amycolatopsis methanolica 239
746,746,A0A076N134,NMO domain-containing protein,unreviewed,349,1068978,Amycolatopsis methanolica 239,Amycolatopsis methanolica 239
747,747,A0A076N267,NMO domain-containing protein,unreviewed,368,1068978,Amycolatopsis methanolica 239,Amycolatopsis methanolica 239
748,748,A0A076NS74,NMO domain-containing protein,unreviewed,312,96345,Flavobacterium psychrophilum,Flavobacterium psychrophilum
749,749,A0A076PL85,NMO domain-containing protein,unreviewed,348,1392005,Comamonas testosteroni TK102,Comamonas testosteroni TK102
750,750,A0A076PQI1,2-nitropropane dioxygenase,unreviewed,362,1392005,Comamonas testosteroni TK102,Comamonas testosteroni TK102
751,751,A0A076PU24,NMO domain-containing protein,unreviewed,318,1392005,Comamonas testosteroni TK102,Comamonas testosteroni TK102
752,752,A0A076PV95,NMO domain-containing protein,unreviewed,324,1392005,Comamonas testosteroni TK102,Comamonas testosteroni TK102
753,753,A0A076PXH7,NMO domain-containing protein,unreviewed,535,888843,Aetherobacter sp. SBSr008,Aetherobacter sp. SBSr008
754,754,A0A076Q0A7,NMO domain-containing protein,unreviewed,535,888830,Aetherobacter fasciculatus,Aetherobacter fasciculatus
755,755,A0A077AUU5,NMO domain-containing protein,unreviewed,332,91604,Candidatus Paracaedibacter acanthamoebae,Candidatus Paracaedibacter acanthamoebae
756,756,A0A077AXX5,NMO domain-containing protein,unreviewed,465,91604,Candidatus Paracaedibacter acanthamoebae,Candidatus Paracaedibacter acanthamoebae
757,757,A0A077DGN4,NMO domain-containing protein,unreviewed,387,1072685,Basilea psittacipulmonis DSM 24701,Basilea psittacipulmonis DSM 24701
758,758,A0A077EC77,Enoyl-[acyl-carrier-protein] reductase [FMN],unreviewed,310,1338011,Elizabethkingia anophelis NUHP1,Elizabethkingia anophelis NUHP1
759,759,A0A077EH32,NMO domain-containing protein,unreviewed,351,1338011,Elizabethkingia anophelis NUHP1,Elizabethkingia anophelis NUHP1
760,760,A0A077F8E8,NMO domain-containing protein,unreviewed,318,237609,Pseudomonas alkylphenolica,Pseudomonas alkylphenolica
761,761,A0A077FAV0,NMO domain-containing protein,unreviewed,357,237609,Pseudomonas alkylphenolica,Pseudomonas alkylphenolica
762,762,A0A077FKW9,NMO domain-containing protein,unreviewed,330,1528098,Rickettsiales bacterium Ac37b,Rickettsiales bacterium Ac37b
763,763,A0A077FLR8,NMO domain-containing protein,unreviewed,466,1528098,Rickettsiales bacterium Ac37b,Rickettsiales bacterium Ac37b
764,764,A0A077HN14,NMO domain-containing protein,unreviewed,296,401472,Corynebacterium ureicelerivorans,Corynebacterium ureicelerivorans
765,765,A0A077J7Y7,NMO domain-containing protein,unreviewed,319,1565991,Bacillus sp. X1(2014),Bacillus sp. X1(2014)
766,766,A0A077J8M8,NMO domain-containing protein,unreviewed,326,1565991,Bacillus sp. X1(2014),Bacillus sp. X1(2014)
767,767,A0A077KER8,NMO domain-containing protein,unreviewed,352,878220,Chryseobacterium sp. StRB126,Chryseobacterium sp. StRB126
768,768,A0A077KGJ8,NMO domain-containing protein,unreviewed,329,878220,Chryseobacterium sp. StRB126,Chryseobacterium sp. StRB126
769,769,A0A077KLZ8,Modular polyketide synthase,unreviewed,2345,878220,Chryseobacterium sp. StRB126,Chryseobacterium sp. StRB126
770,770,A0A077KVR5,NMO domain-containing protein,unreviewed,347,106649,Acinetobacter guillouiae,Acinetobacter guillouiae
771,771,A0A077KY43,NMO domain-containing protein,unreviewed,323,106649,Acinetobacter guillouiae,Acinetobacter guillouiae
772,772,A0A077LQZ4,NMO domain-containing protein,unreviewed,352,1028989,Pseudomonas sp. StFLB209,Pseudomonas sp. StFLB209
773,773,A0A077LWN9,NMO domain-containing protein,unreviewed,337,1194083,Tetrasphaera japonica T1-X7,Tetrasphaera japonica T1-X7
774,774,A0A077MMC8,NMO domain-containing protein,unreviewed,1026,1397852,Xenorhabdus bovienii str. feltiae Florida,Xenorhabdus bovienii str. feltiae Florida
775,775,A0A077NIY8,NMO domain-containing protein,unreviewed,1026,1398201,Xenorhabdus bovienii str. puntauvense,Xenorhabdus bovienii str. puntauvense
776,776,A0A077NP74,NMO domain-containing protein,unreviewed,1026,1398200,Xenorhabdus bovienii str. feltiae Moldova,Xenorhabdus bovienii str. feltiae Moldova
777,777,A0A077P5H4,NMO domain-containing protein,unreviewed,1026,1398202,Xenorhabdus bovienii str. oregonense,Xenorhabdus bovienii str. oregonense
778,778,A0A077PGP1,NMO domain-containing protein,unreviewed,1026,1398203,Xenorhabdus bovienii str. kraussei Quebec,Xenorhabdus bovienii str. kraussei Quebec
779,779,A0A077PHE2,NMO domain-containing protein,unreviewed,1026,1398204,Xenorhabdus bovienii str. kraussei Becker Underwood,Xenorhabdus bovienii str. kraussei Becker Underwood
780,780,A0A077QPK5,NMO domain-containing protein,unreviewed,1038,1379677,Xenorhabdus bovienii str. Intermedium,Xenorhabdus bovienii str. Intermedium
781,781,A0A077R5N9,NMO domain-containing protein,unreviewed,357,1398559,Melanopsichium pennsylvanicum 4,Melanopsichium pennsylvanicum 4
782,782,A0A077R6Q4,2-nitropropane dioxygenase,unreviewed,393,1398559,Melanopsichium pennsylvanicum 4,Melanopsichium pennsylvanicum 4
783,783,A0A077RA57,NMO domain-containing protein,unreviewed,348,1398559,Melanopsichium pennsylvanicum 4,Melanopsichium pennsylvanicum 4
784,784,A0A077V587,Probable nitronate monooxygenase,unreviewed,355,1280,Staphylococcus aureus,Staphylococcus aureus
785,785,A0A077WTQ5,NMO domain-containing protein,unreviewed,333,688394,Lichtheimia ramosa,Lichtheimia ramosa
786,786,A0A077WUV8,NMO domain-containing protein,unreviewed,325,688394,Lichtheimia ramosa,Lichtheimia ramosa
787,787,A0A077WVP0,NMO domain-containing protein,unreviewed,351,688394,Lichtheimia ramosa,Lichtheimia ramosa
788,788,A0A077X4V7,NMO domain-containing protein,unreviewed,385,688394,Lichtheimia ramosa,Lichtheimia ramosa
789,789,A0A078BKG3,NMO domain-containing protein,unreviewed,319,554131,Thiomonas sp. CB2,Thiomonas sp. CB2
790,790,A0A078I1W0,BnaA06g23370D protein,unreviewed,333,3708,Brassica napus,Brassica napus (Rape)
791,791,A0A078KYC8,NMO domain-containing protein,unreviewed,352,1034943,Legionella massiliensis,Legionella massiliensis
792,792,A0A078LTT8,NMO domain-containing protein,unreviewed,347,1499686,Pseudomonas saudiphocaensis,Pseudomonas saudiphocaensis
793,793,A0A078LUC4,NMO domain-containing protein,unreviewed,367,1499686,Pseudomonas saudiphocaensis,Pseudomonas saudiphocaensis
794,794,A0A078M0U6,Probable nitronate monooxygenase,unreviewed,352,1461582,Jeotgalicoccus saudimassiliensis,Jeotgalicoccus saudimassiliensis
795,795,A0A078M473,NMO domain-containing protein,unreviewed,353,1461581,Pseudomonas saudimassiliensis,Pseudomonas saudimassiliensis
796,796,A0A078M4P1,Nitronate monooxygenase,unreviewed,319,1461583,Metalysinibacillus saudimassiliensis,Metalysinibacillus saudimassiliensis
797,797,A0A078M6M2,tRNA-specific adenosine deaminase,unreviewed,479,1461583,Metalysinibacillus saudimassiliensis,Metalysinibacillus saudimassiliensis
798,798,A0A078M9P5,NMO domain-containing protein,unreviewed,321,1461581,Pseudomonas saudimassiliensis,Pseudomonas saudimassiliensis
799,799,A0A078MD20,NMO domain-containing protein,unreviewed,371,1461581,Pseudomonas saudimassiliensis,Pseudomonas saudimassiliensis
800,800,A0A078ME75,NMO domain-containing protein,unreviewed,325,1461581,Pseudomonas saudimassiliensis,Pseudomonas saudimassiliensis
801,801,A0A078MNF5,Nitronate monooxygenase,unreviewed,361,1461584,Arthrobacter saudimassiliensis,Arthrobacter saudimassiliensis
802,802,A0A078MPM4,NMO domain-containing protein,unreviewed,366,1461584,Arthrobacter saudimassiliensis,Arthrobacter saudimassiliensis
803,803,A0A078RA26,NMO domain-containing protein,unreviewed,272,1339350,Bacteroides vulgatus str. 3775 SL(B) 10 (iv),Bacteroides vulgatus str. 3775 SL(B) 10 (iv)
804,804,A0A078S302,Nitronate monooxygenase family protein,unreviewed,316,1339349,Bacteroides uniformis str. 3978 T3 ii,Bacteroides uniformis str. 3978 T3 ii
805,805,A0A078SRC5,NMO domain-containing protein,unreviewed,356,1339344,Parabacteroides distasonis str. 3999B T(B) 4,Parabacteroides distasonis str. 3999B T(B) 4
806,806,A0A078T1J1,Nitronate monooxygenase family protein,unreviewed,297,1339344,Parabacteroides distasonis str. 3999B T(B) 4,Parabacteroides distasonis str. 3999B T(B) 4
807,807,A0A080LU58,NMO domain-containing protein,unreviewed,220,1454002,Candidatus Accumulibacter sp. BA-91,Candidatus Accumulibacter sp. BA-91
808,808,A0A080LZ05,NMO domain-containing protein,unreviewed,349,1454002,Candidatus Accumulibacter sp. BA-91,Candidatus Accumulibacter sp. BA-91
809,809,A0A080M9L9,NMO domain-containing protein,unreviewed,442,1453999,Candidatus Accumulibacter sp. SK-02,Candidatus Accumulibacter sp. SK-02
810,810,A0A080MCC2,NMO domain-containing protein,unreviewed,363,1453999,Candidatus Accumulibacter sp. SK-02,Candidatus Accumulibacter sp. SK-02
811,811,A0A080NLW3,NMO domain-containing protein,unreviewed,319,80866,Delftia acidovorans,Delftia acidovorans (Pseudomonas acidovorans)
812,812,A0A080NPJ7,NMO domain-containing protein,unreviewed,324,80866,Delftia acidovorans,Delftia acidovorans (Pseudomonas acidovorans)
813,813,A0A080NVE0,NMO domain-containing protein,unreviewed,357,80866,Delftia acidovorans,Delftia acidovorans (Pseudomonas acidovorans)
814,814,A0A080VHD9,NMO domain-containing protein,unreviewed,322,287,Pseudomonas aeruginosa,Pseudomonas aeruginosa
815,815,A0A080WGD1,NMO domain-containing protein,unreviewed,257,559305,Trichophyton rubrum (strain ATCC MYA-4607 / CBS 118892),Trichophyton rubrum (strain ATCC MYA-4607 / CBS 118892) (Athlete's foot fungus)
816,816,A0A080Z2S4,NMO domain-containing protein,unreviewed,386,1317066,Phytophthora parasitica P1976,Phytophthora parasitica P1976
817,817,A0A081B7B9,NMO domain-containing protein,unreviewed,306,1333998,Tepidicaulis marinus,Tepidicaulis marinus
818,818,A0A081BA33,2-nitropropane dioxygenase NPD,unreviewed,312,1333998,Tepidicaulis marinus,Tepidicaulis marinus
819,819,A0A081BAL1,NMO domain-containing protein,unreviewed,335,1333998,Tepidicaulis marinus,Tepidicaulis marinus
820,820,A0A081BAL6,NMO domain-containing protein,unreviewed,343,1333998,Tepidicaulis marinus,Tepidicaulis marinus
