,key,accession,entry_protein_locations_fragments_start,entry_protein_locations_fragments_end,entry_protein_locations_fragments_dc-status,entry_protein_locations_model,entry_protein_locations_score,protein_length,source_database,entry_type,entry_integrated
1724,1724,PF03060,4,76,CONTINUOUS,PF03060,2.7e-23,313,pfam,domain,ipr004136
1725,1725,PF03060,83,340,CONTINUOUS,PF03060,2.8e-52,371,pfam,domain,ipr004136
1726,1726,PF03060,2,339,CONTINUOUS,PF03060,8.6e-74,345,pfam,domain,ipr004136
1727,1727,PF03060,10,254,CONTINUOUS,PF03060,3.1e-48,346,pfam,domain,ipr004136
1728,1728,PF03060,9,348,CONTINUOUS,PF03060,2.6e-53,351,pfam,domain,ipr004136
1729,1729,PF03060,4,81,CONTINUOUS,PF03060,9.2e-25,311,pfam,domain,ipr004136
1730,1730,PF03060,13,303,CONTINUOUS,PF03060,2.7e-28,329,pfam,domain,ipr004136
1731,1731,PF03060,87,313,CONTINUOUS,PF03060,8.1e-17,330,pfam,domain,ipr004136
1732,1732,PF03060,2,48,CONTINUOUS,PF03060,6.9e-08,319,pfam,domain,ipr004136
1733,1733,PF03060,14,294,CONTINUOUS,PF03060,8e-25,310,pfam,domain,ipr004136
1734,1734,PF03060,7,77,CONTINUOUS,PF03060,1.5e-20,314,pfam,domain,ipr004136
1735,1735,PF03060,7,332,CONTINUOUS,PF03060,5.5e-87,334,pfam,domain,ipr004136
1736,1736,PF03060,12,330,CONTINUOUS,PF03060,3.4e-76,337,pfam,domain,ipr004136
1737,1737,PF03060,5,350,CONTINUOUS,PF03060,1.8e-72,357,pfam,domain,ipr004136
1738,1738,PF03060,95,199,CONTINUOUS,PF03060,2.5e-09,2332,pfam,domain,ipr004136
1739,1739,PF03060,2,56,CONTINUOUS,PF03060,9.1e-07,327,pfam,domain,ipr004136
1740,1740,PF03060,6,310,CONTINUOUS,PF03060,1.2e-37,325,pfam,domain,ipr004136
1741,1741,PF03060,141,246,CONTINUOUS,PF03060,1.5e-25,357,pfam,domain,ipr004136
1742,1742,PF03060,9,279,CONTINUOUS,PF03060,4.4e-53,363,pfam,domain,ipr004136
1743,1743,PF03060,9,279,CONTINUOUS,PF03060,1.8e-53,363,pfam,domain,ipr004136
1744,1744,PF03060,17,311,CONTINUOUS,PF03060,3.3e-48,332,pfam,domain,ipr004136
1745,1745,PF03060,144,246,CONTINUOUS,PF03060,3.5e-26,357,pfam,domain,ipr004136
1746,1746,PF03060,9,333,CONTINUOUS,PF03060,2.5e-48,351,pfam,domain,ipr004136
1747,1747,PF03060,10,333,CONTINUOUS,PF03060,4.5e-54,351,pfam,domain,ipr004136
1748,1748,PF03060,9,313,CONTINUOUS,PF03060,3.5e-57,379,pfam,domain,ipr004136
1749,1749,PF03060,9,333,CONTINUOUS,PF03060,2.3e-46,351,pfam,domain,ipr004136
1750,1750,PF03060,9,303,CONTINUOUS,PF03060,4.8e-57,379,pfam,domain,ipr004136
1751,1751,PF03060,10,333,CONTINUOUS,PF03060,2.6e-53,351,pfam,domain,ipr004136
1752,1752,PF03060,17,311,CONTINUOUS,PF03060,1.5e-48,332,pfam,domain,ipr004136
1753,1753,PF03060,139,248,CONTINUOUS,PF03060,1.9e-26,357,pfam,domain,ipr004136
1754,1754,PF03060,10,333,CONTINUOUS,PF03060,4.3e-54,351,pfam,domain,ipr004136
1755,1755,PF03060,9,333,CONTINUOUS,PF03060,4.1e-46,351,pfam,domain,ipr004136
1756,1756,PF03060,6,309,CONTINUOUS,PF03060,3.4e-50,330,pfam,domain,ipr004136
1757,1757,PF03060,138,274,CONTINUOUS,PF03060,2.9e-27,342,pfam,domain,ipr004136
1758,1758,PF03060,9,313,CONTINUOUS,PF03060,3.6e-57,379,pfam,domain,ipr004136
1759,1759,PF03060,6,309,CONTINUOUS,PF03060,2.2e-49,330,pfam,domain,ipr004136
1760,1760,PF03060,9,313,CONTINUOUS,PF03060,3.6e-57,379,pfam,domain,ipr004136
1761,1761,PF03060,10,331,CONTINUOUS,PF03060,1.2e-53,351,pfam,domain,ipr004136
1762,1762,PF03060,9,333,CONTINUOUS,PF03060,5.5e-46,351,pfam,domain,ipr004136
1763,1763,PF03060,8,350,CONTINUOUS,PF03060,5.6e-94,356,pfam,domain,ipr004136
1764,1764,PF03060,5,74,CONTINUOUS,PF03060,8.8e-19,321,pfam,domain,ipr004136
1765,1765,PF03060,44,287,CONTINUOUS,PF03060,1.7e-26,297,pfam,domain,ipr004136
1766,1766,PF03060,4,73,CONTINUOUS,PF03060,1.6e-19,315,pfam,domain,ipr004136
1767,1767,PF03060,7,352,CONTINUOUS,PF03060,6.9e-53,359,pfam,domain,ipr004136
1768,1768,PF03060,5,342,CONTINUOUS,PF03060,1.2e-97,345,pfam,domain,ipr004136
1769,1769,PF03060,5,80,CONTINUOUS,PF03060,7.3e-21,308,pfam,domain,ipr004136
1770,1770,PF03060,13,350,CONTINUOUS,PF03060,5e-60,352,pfam,domain,ipr004136
1771,1771,PF03060,50,306,CONTINUOUS,PF03060,1.4e-18,319,pfam,domain,ipr004136
1772,1772,PF03060,13,308,CONTINUOUS,PF03060,1.5e-23,325,pfam,domain,ipr004136
1773,1773,PF03060,3,310,CONTINUOUS,PF03060,7.4e-52,324,pfam,domain,ipr004136
1774,1774,PF03060,5,340,CONTINUOUS,PF03060,2.8e-73,341,pfam,domain,ipr004136
1775,1775,PF03060,117,351,CONTINUOUS,PF03060,1.4e-32,362,pfam,domain,ipr004136
1776,1776,PF03060,6,347,CONTINUOUS,PF03060,3e-92,364,pfam,domain,ipr004136
1777,1777,PF03060,7,351,CONTINUOUS,PF03060,1.6e-44,362,pfam,domain,ipr004136
1778,1778,PF03060,3,264,CONTINUOUS,PF03060,3.3e-48,320,pfam,domain,ipr004136
1779,1779,PF03060,3,356,CONTINUOUS,PF03060,1.6e-109,372,pfam,domain,ipr004136
1780,1780,PF03060,8,344,CONTINUOUS,PF03060,1e-104,358,pfam,domain,ipr004136
1781,1781,PF03060,13,304,CONTINUOUS,PF03060,1.6e-25,315,pfam,domain,ipr004136
1782,1782,PF03060,4,350,CONTINUOUS,PF03060,4.9e-42,365,pfam,domain,ipr004136
1783,1783,PF03060,6,77,CONTINUOUS,PF03060,8.6e-14,337,pfam,domain,ipr004136
1784,1784,PF03060,17,352,CONTINUOUS,PF03060,8.7e-50,370,pfam,domain,ipr004136
1785,1785,PF03060,6,310,CONTINUOUS,PF03060,9.8e-58,326,pfam,domain,ipr004136
1786,1786,PF03060,16,358,CONTINUOUS,PF03060,1.3e-82,364,pfam,domain,ipr004136
1787,1787,PF03060,7,345,CONTINUOUS,PF03060,1.6e-107,363,pfam,domain,ipr004136
1788,1788,PF03060,8,341,CONTINUOUS,PF03060,2.4e-92,354,pfam,domain,ipr004136
1789,1789,PF03060,8,52,CONTINUOUS,PF03060,3.8e-10,318,pfam,domain,ipr004136
1790,1790,PF03060,9,349,CONTINUOUS,PF03060,2.2e-76,362,pfam,domain,ipr004136
1791,1791,PF03060,5,299,CONTINUOUS,PF03060,2.4e-76,314,pfam,domain,ipr004136
1792,1792,PF03060,5,299,CONTINUOUS,PF03060,1.1e-76,313,pfam,domain,ipr004136
1793,1793,PF03060,13,350,CONTINUOUS,PF03060,1.1e-59,355,pfam,domain,ipr004136
1794,1794,PF03060,1,286,CONTINUOUS,PF03060,4.9e-59,298,pfam,domain,ipr004136
1795,1795,PF03060,7,342,CONTINUOUS,PF03060,1.7e-53,347,pfam,domain,ipr004136
1796,1796,PF03060,71,283,CONTINUOUS,PF03060,2.4e-22,302,pfam,domain,ipr004136
1797,1797,PF03060,4,345,CONTINUOUS,PF03060,2.4e-90,364,pfam,domain,ipr004136
1798,1798,PF03060,3,305,CONTINUOUS,PF03060,1.7e-64,327,pfam,domain,ipr004136
1799,1799,PF03060,10,350,CONTINUOUS,PF03060,3.3e-100,363,pfam,domain,ipr004136
1800,1800,PF03060,4,345,CONTINUOUS,PF03060,7.9e-91,364,pfam,domain,ipr004136
1801,1801,PF03060,4,345,CONTINUOUS,PF03060,1.1e-90,364,pfam,domain,ipr004136
1802,1802,PF03060,3,308,CONTINUOUS,PF03060,1.1e-67,323,pfam,domain,ipr004136
1803,1803,PF03060,7,334,CONTINUOUS,PF03060,6.3e-91,337,pfam,domain,ipr004136
1804,1804,PF03060,4,307,CONTINUOUS,PF03060,1.2e-60,323,pfam,domain,ipr004136
1805,1805,PF03060,10,290,CONTINUOUS,PF03060,3.8e-47,327,pfam,domain,ipr004136
1806,1806,PF03060,6,335,CONTINUOUS,PF03060,9.3e-71,336,pfam,domain,ipr004136
1807,1807,PF03060,15,332,CONTINUOUS,PF03060,2.6e-77,371,pfam,domain,ipr004136
1808,1808,PF03060,79,305,CONTINUOUS,PF03060,1.9e-26,319,pfam,domain,ipr004136
1809,1809,PF03060,43,321,CONTINUOUS,PF03060,4.7e-36,420,pfam,domain,ipr004136
1810,1810,PF03060,8,348,CONTINUOUS,PF03060,7.4e-81,352,pfam,domain,ipr004136
1811,1811,PF03060,3,316,CONTINUOUS,PF03060,3e-47,324,pfam,domain,ipr004136
1812,1812,PF03060,6,361,CONTINUOUS,PF03060,2e-84,363,pfam,domain,ipr004136
1813,1813,PF03060,88,342,CONTINUOUS,PF03060,3.7e-10,1026,pfam,domain,ipr004136
1814,1814,PF03060,8,345,CONTINUOUS,PF03060,1.9e-76,354,pfam,domain,ipr004136
1815,1815,PF03060,88,302,CONTINUOUS,PF03060,3.4e-26,322,pfam,domain,ipr004136
1816,1816,PF03060,7,333,CONTINUOUS,PF03060,1.7e-52,351,pfam,domain,ipr004136
1817,1817,PF03060,9,333,CONTINUOUS,PF03060,5.9e-52,352,pfam,domain,ipr004136
1818,1818,PF03060,5,74,CONTINUOUS,PF03060,5.4e-19,286,pfam,domain,ipr004136
1819,1819,PF03060,8,333,CONTINUOUS,PF03060,1.4e-55,352,pfam,domain,ipr004136
1820,1820,PF03060,6,323,CONTINUOUS,PF03060,2.7e-53,325,pfam,domain,ipr004136
1821,1821,PF03060,4,347,CONTINUOUS,PF03060,2.3e-76,352,pfam,domain,ipr004136
1822,1822,PF03060,3,303,CONTINUOUS,PF03060,4.7e-72,324,pfam,domain,ipr004136
1823,1823,PF03060,79,299,CONTINUOUS,PF03060,3e-43,314,pfam,domain,ipr004136
1824,1824,PF03060,3,303,CONTINUOUS,PF03060,7.7e-62,318,pfam,domain,ipr004136
1825,1825,PF03060,3,303,CONTINUOUS,PF03060,7.3e-63,318,pfam,domain,ipr004136
1826,1826,PF03060,44,342,CONTINUOUS,PF03060,3.5e-62,356,pfam,domain,ipr004136
1827,1827,PF03060,43,341,CONTINUOUS,PF03060,1.7e-61,355,pfam,domain,ipr004136
1828,1828,PF03060,4,73,CONTINUOUS,PF03060,8e-20,315,pfam,domain,ipr004136
1829,1829,PF03060,4,302,CONTINUOUS,PF03060,3.9e-61,316,pfam,domain,ipr004136
1830,1830,PF03060,4,73,CONTINUOUS,PF03060,9e-20,315,pfam,domain,ipr004136
1831,1831,PF03060,9,181,CONTINUOUS,PF03060,5.6e-31,319,pfam,domain,ipr004136
1832,1832,PF03060,139,339,CONTINUOUS,PF03060,2.1e-28,645,pfam,domain,ipr004136
1833,1833,PF03060,9,342,CONTINUOUS,PF03060,5e-55,358,pfam,domain,ipr004136
1834,1834,PF03060,93,207,CONTINUOUS,PF03060,1.1e-09,226,pfam,domain,ipr004136
1835,1835,PF03060,11,332,CONTINUOUS,PF03060,1.5e-29,345,pfam,domain,ipr004136
1836,1836,PF03060,9,342,CONTINUOUS,PF03060,1.6e-57,358,pfam,domain,ipr004136
1837,1837,PF03060,3,303,CONTINUOUS,PF03060,1.8e-73,324,pfam,domain,ipr004136
1838,1838,PF03060,3,303,CONTINUOUS,PF03060,1.7e-73,324,pfam,domain,ipr004136
1839,1839,PF03060,3,303,CONTINUOUS,PF03060,1.8e-73,324,pfam,domain,ipr004136
1840,1840,PF03060,24,99,CONTINUOUS,PF03060,1.8e-20,334,pfam,domain,ipr004136
1841,1841,PF03060,13,385,CONTINUOUS,PF03060,1.4e-61,395,pfam,domain,ipr004136
1842,1842,PF03060,5,310,CONTINUOUS,PF03060,1.9e-55,330,pfam,domain,ipr004136
1843,1843,PF03060,9,339,CONTINUOUS,PF03060,3.8e-57,355,pfam,domain,ipr004136
1844,1844,PF03060,20,62,CONTINUOUS,PF03060,1e-08,366,pfam,domain,ipr004136
1845,1845,PF03060,7,341,CONTINUOUS,PF03060,9.4e-96,359,pfam,domain,ipr004136
1846,1846,PF03060,5,309,CONTINUOUS,PF03060,8.3e-62,324,pfam,domain,ipr004136
1847,1847,PF03060,1,294,CONTINUOUS,PF03060,8.3e-68,311,pfam,domain,ipr004136
1848,1848,PF03060,23,358,CONTINUOUS,PF03060,3.2e-42,373,pfam,domain,ipr004136
1849,1849,PF03060,7,74,CONTINUOUS,PF03060,2.8e-21,281,pfam,domain,ipr004136
1850,1850,PF03060,3,77,CONTINUOUS,PF03060,8.9e-25,308,pfam,domain,ipr004136
1851,1851,PF03060,3,73,CONTINUOUS,PF03060,3.3e-21,309,pfam,domain,ipr004136
1852,1852,PF03060,213,328,CONTINUOUS,PF03060,8.9e-09,493,pfam,domain,ipr004136
1853,1853,PF03060,7,317,CONTINUOUS,PF03060,3.1e-49,332,pfam,domain,ipr004136
1854,1854,PF03060,16,327,CONTINUOUS,PF03060,4e-49,336,pfam,domain,ipr004136
1855,1855,PF03060,5,310,CONTINUOUS,PF03060,8.1e-52,326,pfam,domain,ipr004136
1856,1856,PF03060,18,338,CONTINUOUS,PF03060,8.4e-10,469,pfam,domain,ipr004136
1857,1857,PF03060,11,336,CONTINUOUS,PF03060,3.5e-67,343,pfam,domain,ipr004136
1858,1858,PF03060,13,250,CONTINUOUS,PF03060,1.2e-15,326,pfam,domain,ipr004136
1859,1859,PF03060,7,342,CONTINUOUS,PF03060,1.2e-74,354,pfam,domain,ipr004136
1860,1860,PF03060,79,251,CONTINUOUS,PF03060,2.9e-19,323,pfam,domain,ipr004136
1861,1861,PF03060,5,49,CONTINUOUS,PF03060,5.6e-10,322,pfam,domain,ipr004136
1862,1862,PF03060,8,76,CONTINUOUS,PF03060,1.4e-20,314,pfam,domain,ipr004136
1863,1863,PF03060,86,344,CONTINUOUS,PF03060,5.4e-74,356,pfam,domain,ipr004136
1864,1864,PF03060,88,238,CONTINUOUS,PF03060,4.3e-24,304,pfam,domain,ipr004136
1865,1865,PF03060,18,248,CONTINUOUS,PF03060,6.6e-28,314,pfam,domain,ipr004136
1866,1866,PF03060,4,79,CONTINUOUS,PF03060,1.6e-20,318,pfam,domain,ipr004136
1867,1867,PF03060,8,331,CONTINUOUS,PF03060,8.7e-80,348,pfam,domain,ipr004136
1868,1868,PF03060,3,180,CONTINUOUS,PF03060,2.8e-41,188,pfam,domain,ipr004136
1869,1869,PF03060,11,357,CONTINUOUS,PF03060,9.1e-44,372,pfam,domain,ipr004136
1870,1870,PF03060,4,309,CONTINUOUS,PF03060,6.9e-58,325,pfam,domain,ipr004136
1871,1871,PF03060,4,300,CONTINUOUS,PF03060,2.9e-61,314,pfam,domain,ipr004136
1872,1872,PF03060,7,342,CONTINUOUS,PF03060,7.6e-65,347,pfam,domain,ipr004136
1873,1873,PF03060,8,341,CONTINUOUS,PF03060,2.5e-73,344,pfam,domain,ipr004136
1874,1874,PF03060,12,317,CONTINUOUS,PF03060,3.1e-38,330,pfam,domain,ipr004136
1875,1875,PF03060,4,78,CONTINUOUS,PF03060,8.7e-20,314,pfam,domain,ipr004136
1876,1876,PF03060,7,304,CONTINUOUS,PF03060,5.7e-60,314,pfam,domain,ipr004136
1877,1877,PF03060,287,618,CONTINUOUS,PF03060,1.2e-11,2346,pfam,domain,ipr004136
1878,1878,PF03060,2,48,CONTINUOUS,PF03060,4.4e-09,323,pfam,domain,ipr004136
1879,1879,PF03060,16,334,CONTINUOUS,PF03060,2e-26,389,pfam,domain,ipr004136
1880,1880,PF03060,15,318,CONTINUOUS,PF03060,1.1e-36,335,pfam,domain,ipr004136
1881,1881,PF03060,6,77,CONTINUOUS,PF03060,5.2e-19,316,pfam,domain,ipr004136
1882,1882,PF03060,88,300,CONTINUOUS,PF03060,6.1e-24,318,pfam,domain,ipr004136
1883,1883,PF03060,2,59,CONTINUOUS,PF03060,4.9e-07,327,pfam,domain,ipr004136
1884,1884,PF03060,81,225,CONTINUOUS,PF03060,4.3e-20,287,pfam,domain,ipr004136
1885,1885,PF03060,3,303,CONTINUOUS,PF03060,2.5e-73,324,pfam,domain,ipr004136
1886,1886,PF03060,9,349,CONTINUOUS,PF03060,3.2e-76,362,pfam,domain,ipr004136
1887,1887,PF03060,6,348,CONTINUOUS,PF03060,4.9e-59,352,pfam,domain,ipr004136
1888,1888,PF03060,3,297,CONTINUOUS,PF03060,4.2e-76,310,pfam,domain,ipr004136
1889,1889,PF03060,6,347,CONTINUOUS,PF03060,5.5e-67,353,pfam,domain,ipr004136
1890,1890,PF03060,7,303,CONTINUOUS,PF03060,5.3e-66,317,pfam,domain,ipr004136
1891,1891,PF03060,6,350,CONTINUOUS,PF03060,4.1e-69,359,pfam,domain,ipr004136
1892,1892,PF03060,4,312,CONTINUOUS,PF03060,4.2e-65,315,pfam,domain,ipr004136
1893,1893,PF03060,3,331,CONTINUOUS,PF03060,1.8e-63,345,pfam,domain,ipr004136
1894,1894,PF03060,114,386,CONTINUOUS,PF03060,5.5e-11,550,pfam,domain,ipr004136
1895,1895,PF03060,9,359,CONTINUOUS,PF03060,7.1e-51,360,pfam,domain,ipr004136
1896,1896,PF03060,4,367,CONTINUOUS,PF03060,1.8e-50,381,pfam,domain,ipr004136
1897,1897,PF03060,7,74,CONTINUOUS,PF03060,4.4e-20,316,pfam,domain,ipr004136
1898,1898,PF03060,23,365,CONTINUOUS,PF03060,6.6e-50,379,pfam,domain,ipr004136
1899,1899,PF03060,3,365,CONTINUOUS,PF03060,1.1e-58,379,pfam,domain,ipr004136
1900,1900,PF03060,10,341,CONTINUOUS,PF03060,4.9e-81,352,pfam,domain,ipr004136
1901,1901,PF03060,6,351,CONTINUOUS,PF03060,1e-43,361,pfam,domain,ipr004136
1902,1902,PF03060,10,348,CONTINUOUS,PF03060,4.4e-58,358,pfam,domain,ipr004136
1903,1903,PF03060,4,82,CONTINUOUS,PF03060,2.4e-24,311,pfam,domain,ipr004136
1904,1904,PF03060,3,368,CONTINUOUS,PF03060,5.2e-52,382,pfam,domain,ipr004136
1905,1905,PF03060,4,350,CONTINUOUS,PF03060,9.3e-68,369,pfam,domain,ipr004136
1906,1906,PF03060,18,68,CONTINUOUS,PF03060,1.1e-08,312,pfam,domain,ipr004136
1907,1907,PF03060,87,241,CONTINUOUS,PF03060,1.5e-15,273,pfam,domain,ipr004136
1908,1908,PF03060,8,344,CONTINUOUS,PF03060,2e-77,353,pfam,domain,ipr004136
1909,1909,PF03060,88,302,CONTINUOUS,PF03060,9.7e-27,322,pfam,domain,ipr004136
1910,1910,PF03060,3,342,CONTINUOUS,PF03060,5.3e-108,357,pfam,domain,ipr004136
1911,1911,PF03060,88,311,CONTINUOUS,PF03060,2.5e-25,323,pfam,domain,ipr004136
1912,1912,PF03060,18,366,CONTINUOUS,PF03060,2e-56,375,pfam,domain,ipr004136
1913,1913,PF03060,18,263,CONTINUOUS,PF03060,1.9e-34,337,pfam,domain,ipr004136
1914,1914,PF03060,662,901,CONTINUOUS,PF03060,1.3e-08,1062,pfam,domain,ipr004136
1915,1915,PF03060,5,61,CONTINUOUS,PF03060,1e-07,320,pfam,domain,ipr004136
1916,1916,PF03060,3,342,CONTINUOUS,PF03060,8.2e-107,357,pfam,domain,ipr004136
1917,1917,PF03060,6,343,CONTINUOUS,PF03060,9e-87,350,pfam,domain,ipr004136
1918,1918,PF03060,17,378,CONTINUOUS,PF03060,2.8e-32,397,pfam,domain,ipr004136
1919,1919,PF03060,88,363,CONTINUOUS,PF03060,7.5e-10,541,pfam,domain,ipr004136
1920,1920,PF03060,11,336,CONTINUOUS,PF03060,3.6e-83,338,pfam,domain,ipr004136
1921,1921,PF03060,4,351,CONTINUOUS,PF03060,5.8e-45,368,pfam,domain,ipr004136
1922,1922,PF03060,2,344,CONTINUOUS,PF03060,1.6e-83,354,pfam,domain,ipr004136
1923,1923,PF03060,8,344,CONTINUOUS,PF03060,3.8e-71,354,pfam,domain,ipr004136
1924,1924,PF03060,87,302,CONTINUOUS,PF03060,7.8e-26,323,pfam,domain,ipr004136
1925,1925,PF03060,35,287,CONTINUOUS,PF03060,1.4e-07,458,pfam,domain,ipr004136
1926,1926,PF03060,19,292,CONTINUOUS,PF03060,8.5e-57,388,pfam,domain,ipr004136
1927,1927,PF03060,6,352,CONTINUOUS,PF03060,3.1e-57,530,pfam,domain,ipr004136
1928,1928,PF03060,25,264,CONTINUOUS,PF03060,1.2e-27,370,pfam,domain,ipr004136
1929,1929,PF03060,5,311,CONTINUOUS,PF03060,2.3e-53,330,pfam,domain,ipr004136
1930,1930,PF03060,23,360,CONTINUOUS,PF03060,3.5e-48,375,pfam,domain,ipr004136
1931,1931,PF03060,111,373,CONTINUOUS,PF03060,1.1e-09,553,pfam,domain,ipr004136
1932,1932,PF03060,88,302,CONTINUOUS,PF03060,4.9e-26,322,pfam,domain,ipr004136
1933,1933,PF03060,3,342,CONTINUOUS,PF03060,1.8e-73,347,pfam,domain,ipr004136
1934,1934,PF03060,111,373,CONTINUOUS,PF03060,4.2e-09,561,pfam,domain,ipr004136
1935,1935,PF03060,3,305,CONTINUOUS,PF03060,1.5e-64,325,pfam,domain,ipr004136
1936,1936,PF03060,8,345,CONTINUOUS,PF03060,4.1e-76,354,pfam,domain,ipr004136
1937,1937,PF03060,17,87,CONTINUOUS,PF03060,4.4e-18,344,pfam,domain,ipr004136
1938,1938,PF03060,5,302,CONTINUOUS,PF03060,6.5e-78,303,pfam,domain,ipr004136
1939,1939,PF03060,5,344,CONTINUOUS,PF03060,4.1e-100,362,pfam,domain,ipr004136
1940,1940,PF03060,85,304,CONTINUOUS,PF03060,4.7e-39,322,pfam,domain,ipr004136
1941,1941,PF03060,7,361,CONTINUOUS,PF03060,1.7e-90,362,pfam,domain,ipr004136
1942,1942,PF03060,5,348,CONTINUOUS,PF03060,5e-97,359,pfam,domain,ipr004136
1943,1943,PF03060,9,344,CONTINUOUS,PF03060,1.3e-90,361,pfam,domain,ipr004136
1944,1944,PF03060,10,334,CONTINUOUS,PF03060,5.1e-53,354,pfam,domain,ipr004136
1945,1945,PF03060,8,333,CONTINUOUS,PF03060,8e-54,350,pfam,domain,ipr004136
1946,1946,PF03060,1,309,CONTINUOUS,PF03060,1.3e-35,329,pfam,domain,ipr004136
1947,1947,PF03060,5,309,CONTINUOUS,PF03060,6.3e-58,328,pfam,domain,ipr004136
1948,1948,PF03060,6,283,CONTINUOUS,PF03060,9.7e-47,352,pfam,domain,ipr004136
1949,1949,PF03060,5,338,CONTINUOUS,PF03060,2.3e-95,358,pfam,domain,ipr004136
1950,1950,PF03060,84,307,CONTINUOUS,PF03060,4.9e-23,323,pfam,domain,ipr004136
1951,1951,PF03060,5,72,CONTINUOUS,PF03060,5.1e-18,324,pfam,domain,ipr004136
1952,1952,PF03060,130,315,CONTINUOUS,PF03060,3.4e-07,465,pfam,domain,ipr004136
1953,1953,PF03060,7,309,CONTINUOUS,PF03060,3.4e-40,328,pfam,domain,ipr004136
1954,1954,PF03060,6,362,CONTINUOUS,PF03060,4.3e-85,364,pfam,domain,ipr004136
1955,1955,PF03060,6,63,CONTINUOUS,PF03060,9.6e-10,352,pfam,domain,ipr004136
1956,1956,PF03060,3,355,CONTINUOUS,PF03060,1.2e-83,359,pfam,domain,ipr004136
1957,1957,PF03060,4,363,CONTINUOUS,PF03060,1.4e-81,368,pfam,domain,ipr004136
1958,1958,PF03060,5,361,CONTINUOUS,PF03060,2.4e-84,369,pfam,domain,ipr004136
1959,1959,PF03060,3,354,CONTINUOUS,PF03060,2.4e-84,359,pfam,domain,ipr004136
1960,1960,PF03060,1,308,CONTINUOUS,PF03060,5.6e-34,325,pfam,domain,ipr004136
1961,1961,PF03060,7,65,CONTINUOUS,PF03060,4.8e-07,309,pfam,domain,ipr004136
1962,1962,PF03060,5,358,CONTINUOUS,PF03060,5e-50,371,pfam,domain,ipr004136
1963,1963,PF03060,6,331,CONTINUOUS,PF03060,8.5e-47,350,pfam,domain,ipr004136
1964,1964,PF03060,6,309,CONTINUOUS,PF03060,1.6e-56,330,pfam,domain,ipr004136
1965,1965,PF03060,59,363,CONTINUOUS,PF03060,6.4e-51,384,pfam,domain,ipr004136
1966,1966,PF03060,1,308,CONTINUOUS,PF03060,8.8e-43,328,pfam,domain,ipr004136
1967,1967,PF03060,10,334,CONTINUOUS,PF03060,2.5e-51,354,pfam,domain,ipr004136
1968,1968,PF03060,1,286,CONTINUOUS,PF03060,4.2e-50,309,pfam,domain,ipr004136
1969,1969,PF03060,6,329,CONTINUOUS,PF03060,4.5e-44,352,pfam,domain,ipr004136
1970,1970,PF03060,1,309,CONTINUOUS,PF03060,3e-46,328,pfam,domain,ipr004136
1971,1971,PF03060,6,310,CONTINUOUS,PF03060,5.3e-54,335,pfam,domain,ipr004136
1972,1972,PF03060,22,263,CONTINUOUS,PF03060,9e-29,362,pfam,domain,ipr004136
1973,1973,PF03060,10,334,CONTINUOUS,PF03060,4.8e-53,354,pfam,domain,ipr004136
1974,1974,PF03060,9,306,CONTINUOUS,PF03060,2.4e-25,319,pfam,domain,ipr004136
1975,1975,PF03060,5,309,CONTINUOUS,PF03060,9.2e-56,330,pfam,domain,ipr004136
1976,1976,PF03060,4,308,CONTINUOUS,PF03060,4e-56,329,pfam,domain,ipr004136
1977,1977,PF03060,18,323,CONTINUOUS,PF03060,1.7e-30,339,pfam,domain,ipr004136
1978,1978,PF03060,7,327,CONTINUOUS,PF03060,1.1e-33,341,pfam,domain,ipr004136
1979,1979,PF03060,6,331,CONTINUOUS,PF03060,2.2e-47,352,pfam,domain,ipr004136
1980,1980,PF03060,15,332,CONTINUOUS,PF03060,7.1e-26,347,pfam,domain,ipr004136
1981,1981,PF03060,9,331,CONTINUOUS,PF03060,2.7e-50,351,pfam,domain,ipr004136
1982,1982,PF03060,88,193,CONTINUOUS,PF03060,8.8e-17,274,pfam,domain,ipr004136
1983,1983,PF03060,9,340,CONTINUOUS,PF03060,2.3e-58,355,pfam,domain,ipr004136
1984,1984,PF03060,7,72,CONTINUOUS,PF03060,3.7e-10,329,pfam,domain,ipr004136
1985,1985,PF03060,1,111,CONTINUOUS,PF03060,5.8e-09,132,pfam,domain,ipr004136
1986,1986,PF03060,10,335,CONTINUOUS,PF03060,2.1e-53,354,pfam,domain,ipr004136
1987,1987,PF03060,1,307,CONTINUOUS,PF03060,4.4e-33,325,pfam,domain,ipr004136
1988,1988,PF03060,3,350,CONTINUOUS,PF03060,1.6e-55,355,pfam,domain,ipr004136
1989,1989,PF03060,165,306,CONTINUOUS,PF03060,4.1e-24,414,pfam,domain,ipr004136
1990,1990,PF03060,9,333,CONTINUOUS,PF03060,1.5e-33,358,pfam,domain,ipr004136
1991,1991,PF03060,6,62,CONTINUOUS,PF03060,3.3e-09,341,pfam,domain,ipr004136
1992,1992,PF03060,6,331,CONTINUOUS,PF03060,1.6e-50,350,pfam,domain,ipr004136
1993,1993,PF03060,6,284,CONTINUOUS,PF03060,3e-46,350,pfam,domain,ipr004136
1994,1994,PF03060,5,248,CONTINUOUS,PF03060,1e-47,352,pfam,domain,ipr004136
1995,1995,PF03060,6,331,CONTINUOUS,PF03060,2.8e-54,349,pfam,domain,ipr004136
1996,1996,PF03060,6,331,CONTINUOUS,PF03060,1.6e-54,352,pfam,domain,ipr004136
